series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
440,15,7/8/2026,8/23/2026,140,108,3
441,16,7/10/2026,8/16/2026,137,115,4
442,16,7/10/2026,7/12/2026,116,143,3
443,16,7/10/2026,9/17/2026,134,158,3
444,16,7/10/2026,7/12/2026,120,147,3
445,16,7/10/2026,7/12/2026,110,118,3
446,16,7/10/2026,9/20/2026,113,112,3
447,16,7/10/2026,7/12/2026,121,111,3
448,16,7/10/2026,7/12/2026,139,136,3
449,16,7/10/2026,7/12/2026,146,114,3
450,16,7/10/2026,7/12/2026,145,133,3
451,16,7/11/2026,7/12/2026,142,108,3
452,16,7/11/2026,7/12/2026,138,144,3
453,16,7/11/2026,7/12/2026,135,141,3
454,17,7/17/2026,7/19/2026,147,119,3
455,17,7/17/2026,7/19/2026,114,134,3
456,17,7/17/2026,7/19/2026,144,140,3
457,17,7/17/2026,7/19/2026,141,145,3
458,17,7/17/2026,7/19/2026,158,146,3
459,17,7/18/2026,7/19/2026,112,142,3
460,17,7/18/2026,7/19/2026,117,110,3
461,17,7/18/2026,7/19/2026,118,135,3
462,17,7/18/2026,7/19/2026,115,113,3
463,17,7/18/2026,7/19/2026,108,116,3
464,17,7/18/2026,7/19/2026,133,120,3
465,17,7/18/2026,7/19/2026,109,138,3
466,17,7/18/2026,7/19/2026,136,137,3
467,17,7/20/2026,7/22/2026,147,134,3
468,17,7/20/2026,7/22/2026,143,119,3
469,17,7/20/2026,7/23/2026,144,135,4
470,17,7/20/2026,7/22/2026,118,137,3
471,17,7/20/2026,7/22/2026,158,121,3
472,17,7/21/2026,7/23/2026,112,116,3
473,17,7/21/2026,7/23/2026,140,145,3
474,17,7/21/2026,7/23/2026,117,146,3
475,17,7/21/2026,7/22/2026,115,120,3
476,17,7/21/2026,7/22/2026,109,133,3
477,17,7/21/2026,7/22/2026,136,113,3
478,17,7/21/2026,7/22/2026,108,138,3
479,18,7/24/2026,7/26/2026,158,115,3
480,18,7/24/2026,7/26/2026,143,147,3
481,18,7/24/2026,7/26/2026,120,109,3
482,18,7/24/2026,7/26/2026,110,144,3
483,18,7/24/2026,7/26/2026,121,119,3
484,18,7/24/2026,7/26/2026,139,114,3
485,18,7/24/2026,7/26/2026,146,135,3
486,18,7/24/2026,7/26/2026,145,117,3
487,18,7/25/2026,7/26/2026,142,133,3
488,18,7/25/2026,7/26/2026,137,108,3
489,18,7/27/2026,7/29/2026,116,110,3
490,18,7/27/2026,7/29/2026,134,109,3
491,18,7/27/2026,7/29/2026,120,141,3
492,18,7/27/2026,7/29/2026,113,114,3
493,18,7/27/2026,7/30/2026,145,147,4
494,18,7/28/2026,7/31/2026,133,111,4
495,18,7/28/2026,7/29/2026,137,158,3
496,18,7/28/2026,7/30/2026,139,140,3
497,18,7/29/2026,7/31/2026,119,136,3
498,19,7/31/2026,8/2/2026,112,147,3
499,19,7/31/2026,8/2/2026,110,143,3
500,19,7/31/2026,8/2/2026,141,138,3
501,19,7/31/2026,8/2/2026,114,109,3
502,19,7/31/2026,8/2/2026,139,145,3
503,19,8/1/2026,8/2/2026,115,118,3
504,19,8/1/2026,8/2/2026,108,158,3
505,19,8/1/2026,8/2/2026,133,116,3
506,19,8/1/2026,8/2/2026,119,111,3
507,19,8/1/2026,8/2/2026,136,142,3
508,19,8/3/2026,8/5/2026,147,138,3
509,19,8/4/2026,8/5/2026,112,119,3
